id,role
646,Construction Foreman
647,Subcontractor
648,Engineer
649,Estimator
650,Surveyor
651,Subcontractor
652,Architect
653,Construction Expeditor
654,Subcontractor
655,Supervisor
656,Supervisor
657,Electrician
658,Construction Worker
659,Surveyor
660,Construction Foreman
661,Construction Worker
662,Engineer
663,Construction Foreman
664,Electrician
665,Construction Manager
666,Estimator
667,Construction Foreman
668,Supervisor
669,Surveyor
670,Construction Expeditor
671,Architect
672,Engineer
673,Architect
674,Engineer
675,Construction Worker
676,Supervisor
677,Engineer
678,Construction Expeditor
679,Electrician
680,Construction Worker
681,Project Manager
682,Supervisor
683,Construction Manager
684,Electrician
685,Architect
686,Supervisor
687,Construction Foreman
688,Construction Manager
689,Architect
690,Project Manager
691,Construction Foreman
692,Construction Foreman
693,Estimator
694,Surveyor
695,Construction Expeditor
696,Construction Manager
697,Supervisor
698,Construction Foreman
699,Surveyor
700,Architect
701,Subcontractor
702,Construction Expeditor
703,Construction Manager
704,Electrician
705,Estimator
706,Surveyor
707,Project Manager
708,Subcontractor
709,Engineer
710,Construction Worker
711,Engineer
712,Electrician
713,Construction Worker
714,Estimator
715,Construction Expeditor
716,Electrician
717,Surveyor
718,Surveyor
719,Subcontractor
720,Supervisor
721,Construction Foreman
722,Project Manager
723,Supervisor
724,Construction Manager
725,Construction Manager
726,Project Manager
727,Construction Expeditor
728,Architect
729,Construction Manager
730,Estimator
731,Construction Expeditor
732,Architect
733,Construction Foreman
734,Project Manager
735,Construction Foreman
736,Supervisor
737,Construction Foreman
738,Construction Expeditor
739,Supervisor
740,Construction Worker
741,Construction Expeditor
742,Estimator
743,Subcontractor
744,Electrician
745,Construction Expeditor
746,Estimator
747,Engineer
748,Construction Foreman
749,Construction Foreman
750,Construction Worker
751,Subcontractor
752,Engineer
753,Estimator
754,Engineer
755,Construction Manager
756,Supervisor
757,Subcontractor
758,Surveyor
759,Subcontractor
760,Surveyor
761,Supervisor
762,Surveyor
763,Construction Worker
764,Architect
765,Project Manager
766,Construction Worker
767,Surveyor
768,Construction Foreman
769,Construction Foreman
770,Electrician
771,Engineer
772,Supervisor
773,Engineer
774,Project Manager
775,Surveyor
776,Architect
777,Electrician
778,Surveyor
779,Construction Worker
780,Construction Expeditor
781,Estimator
782,Construction Foreman
783,Subcontractor
784,Construction Manager
785,Surveyor
786,Electrician
787,Construction Foreman
788,Construction Foreman
789,Surveyor
790,Construction Manager
791,Construction Manager
792,Construction Worker
793,Construction Expeditor
794,Estimator
795,Construction Expeditor
796,Construction Foreman
797,Engineer
798,Electrician
799,Architect
800,Electrician
801,Construction Expeditor
802,Estimator
803,Surveyor
804,Construction Manager
805,Engineer
806,Electrician
807,Construction Manager
808,Construction Worker
809,Subcontractor
810,Construction Manager
811,Estimator
812,Construction Manager
813,Surveyor
814,Construction Worker
815,Construction Foreman
816,Subcontractor
817,Construction Manager
818,Architect
819,Engineer
820,Surveyor
821,Project Manager
822,Construction Foreman
823,Electrician
824,Architect
825,Project Manager
826,Estimator
827,Estimator
828,Electrician
829,Supervisor
830,Electrician
831,Electrician
832,Engineer
833,Estimator
834,Supervisor
835,Surveyor
836,Construction Manager
837,Supervisor
838,Surveyor
839,Construction Foreman
840,Supervisor
841,Electrician
842,Estimator
843,Construction Foreman
844,Construction Manager
845,Estimator
846,Engineer
847,Project Manager
848,Engineer
849,Electrician
850,Architect
851,Construction Manager
852,Project Manager
853,Construction Worker
854,Subcontractor
855,Engineer
856,Surveyor
857,Construction Manager
858,Supervisor
859,Architect
860,Subcontractor
861,Architect
862,Project Manager
863,Estimator
864,Subcontractor
865,Project Manager
866,Surveyor
867,Construction Foreman
868,Surveyor
869,Architect
870,Estimator
871,Surveyor
872,Supervisor
873,Construction Expeditor
874,Architect
875,Construction Worker
876,Architect
877,Electrician
878,Architect
879,Engineer
880,Architect
881,Construction Expeditor
882,Engineer
883,Estimator
884,Supervisor
885,Engineer
886,Engineer
887,Subcontractor
888,Construction Manager
889,Construction Manager
890,Supervisor
891,Project Manager
892,Construction Worker
893,Subcontractor
894,Construction Worker
895,Supervisor
896,Subcontractor
897,Construction Expeditor
898,Project Manager
899,Engineer
900,Subcontractor
901,Construction Manager
902,Architect
903,Electrician
904,Electrician
905,Construction Manager
906,Construction Expeditor
907,Estimator
908,Estimator
909,Construction Manager
910,Project Manager
911,Construction Foreman
912,Construction Manager
913,Surveyor
914,Surveyor
915,Engineer
916,Architect
917,Project Manager
918,Supervisor
919,Construction Foreman
920,Construction Manager
921,Architect
922,Construction Worker
923,Engineer
924,Construction Foreman
925,Electrician
926,Supervisor
927,Engineer
928,Surveyor
929,Project Manager
930,Architect
931,Architect
932,Architect
933,Construction Manager
934,Architect
935,Construction Worker
936,Construction Worker
937,Electrician
938,Engineer
939,Supervisor
940,Construction Worker
941,Construction Worker
942,Construction Expeditor
943,Construction Foreman
944,Supervisor
945,Estimator
946,Supervisor
947,Engineer
948,Electrician
949,Electrician
950,Electrician
951,Surveyor
952,Architect
953,Architect
954,Project Manager
955,Supervisor
956,Engineer
957,Construction Expeditor
958,Electrician
959,Construction Expeditor
960,Surveyor
961,Electrician
962,Supervisor
963,Surveyor
964,Construction Manager
965,Engineer
966,Surveyor
967,Supervisor
968,Subcontractor
969,Project Manager
970,Estimator
971,Supervisor
972,Construction Worker
973,Supervisor
974,Engineer
975,Architect
976,Supervisor
977,Construction Worker
978,Engineer
979,Construction Expeditor
980,Engineer
981,Engineer
982,Project Manager
983,Project Manager
984,Construction Foreman
985,Estimator
986,Project Manager
987,Construction Worker
988,Project Manager
989,Surveyor
990,Construction Manager
991,Subcontractor
992,Construction Foreman
993,Construction Foreman
994,Estimator
995,Surveyor
996,Supervisor
997,Construction Expeditor
998,Subcontractor
999,Architect
1000,Subcontractor
